Alpha,Beta,Gamma,Eredmény,Ütközés,Min_Táv,Lépés
1,1,2,SIKER,False,0.15,214
1,1,4,SIKER,False,0.151,204
1,1,6,SIKER,False,0.15,210
1,3,2,SIKER,False,0.15,214
1,3,4,SIKER,False,0.151,204
1,3,6,SIKER,False,0.15,210
1,5,2,SIKER,False,0.15,214
1,5,4,SIKER,False,0.151,204
1,5,6,SIKER,False,0.15,210
3,1,2,SIKER,False,0.153,394
3,1,4,SIKER,False,0.151,222
3,1,6,SIKER,False,0.15,214
3,3,2,SIKER,False,0.153,394
3,3,4,SIKER,False,0.151,222
3,3,6,SIKER,False,0.15,214
3,5,2,SIKER,False,0.153,394
3,5,4,SIKER,False,0.151,222
3,5,6,SIKER,False,0.15,214
5,1,2,TIMEOUT,False,0.283,500
5,1,4,TIMEOUT,True,-0.015,500
5,1,6,SIKER,False,0.153,212
5,3,2,TIMEOUT,False,0.283,500
5,3,4,TIMEOUT,True,-0.015,500
5,3,6,SIKER,False,0.153,212
5,5,2,TIMEOUT,False,0.283,500
5,5,4,TIMEOUT,True,-0.015,500
5,5,6,SIKER,False,0.153,212
