Alpha;Beta;Gamma;Eredmény;Ütközés;Min_Távolság;Lépésszám;Átlag_Sebesség
0;0;0;TIMEOUT;False;1.303;599;-0.494
0;0;1;TIMEOUT;False;0.1;599;0.05
0;0;2;TIMEOUT;False;0.1;599;0.05
0;0;3;TIMEOUT;False;0.1;599;0.05
0;0;4;TIMEOUT;False;0.1;599;0.05
0;0;5;TIMEOUT;False;0.1;599;0.05
0;0;6;TIMEOUT;False;0.1;599;0.05
0;0;7;TIMEOUT;False;0.1;599;0.05
0;0;8;TIMEOUT;False;0.1;599;0.05
0;0;9;TIMEOUT;False;0.1;599;0.05
0;0;10;TIMEOUT;False;0.1;599;0.05
0;1;0;TIMEOUT;False;1.303;599;-0.494
0;1;1;TIMEOUT;False;0.172;599;0.51
0;1;2;TIMEOUT;False;0.172;599;0.51
0;1;3;TIMEOUT;False;0.172;599;0.51
0;1;4;TIMEOUT;False;0.172;599;0.51
0;1;5;TIMEOUT;False;0.172;599;0.51
0;1;6;TIMEOUT;False;0.172;599;0.51
0;1;7;TIMEOUT;False;0.172;599;0.51
0;1;8;TIMEOUT;False;0.172;599;0.51
0;1;9;TIMEOUT;False;0.172;599;0.51
0;1;10;TIMEOUT;False;0.172;599;0.51
0;2;0;TIMEOUT;False;1.303;599;-0.494
0;2;1;TIMEOUT;False;0.172;599;0.51
0;2;2;TIMEOUT;False;0.172;599;0.51
0;2;3;TIMEOUT;False;0.172;599;0.51
0;2;4;TIMEOUT;False;0.172;599;0.51
0;2;5;TIMEOUT;False;0.172;599;0.51
0;2;6;TIMEOUT;False;0.172;599;0.51
0;2;7;TIMEOUT;False;0.172;599;0.51
0;2;8;TIMEOUT;False;0.172;599;0.51
0;2;9;TIMEOUT;False;0.172;599;0.51
0;2;10;TIMEOUT;False;0.172;599;0.51
0;3;0;TIMEOUT;False;1.303;599;-0.494
0;3;1;TIMEOUT;False;0.172;599;0.51
0;3;2;TIMEOUT;False;0.172;599;0.51
0;3;3;TIMEOUT;False;0.172;599;0.51
0;3;4;TIMEOUT;False;0.172;599;0.51
0;3;5;TIMEOUT;False;0.172;599;0.51
0;3;6;TIMEOUT;False;0.172;599;0.51
0;3;7;TIMEOUT;False;0.172;599;0.51
0;3;8;TIMEOUT;False;0.172;599;0.51
0;3;9;TIMEOUT;False;0.172;599;0.51
0;3;10;TIMEOUT;False;0.172;599;0.51
0;4;0;TIMEOUT;False;1.303;599;-0.494
0;4;1;TIMEOUT;False;0.172;599;0.51
0;4;2;TIMEOUT;False;0.172;599;0.51
0;4;3;TIMEOUT;False;0.172;599;0.51
0;4;4;TIMEOUT;False;0.172;599;0.51
0;4;5;TIMEOUT;False;0.172;599;0.51
0;4;6;TIMEOUT;False;0.172;599;0.51
0;4;7;TIMEOUT;False;0.172;599;0.51
0;4;8;TIMEOUT;False;0.172;599;0.51
0;4;9;TIMEOUT;False;0.172;599;0.51
0;4;10;TIMEOUT;False;0.172;599;0.51
0;5;0;TIMEOUT;False;1.303;599;-0.494
0;5;1;TIMEOUT;False;0.172;599;0.51
0;5;2;TIMEOUT;False;0.172;599;0.51
0;5;3;TIMEOUT;False;0.172;599;0.51
0;5;4;TIMEOUT;False;0.172;599;0.51
0;5;5;TIMEOUT;False;0.172;599;0.51
0;5;6;TIMEOUT;False;0.172;599;0.51
0;5;7;TIMEOUT;False;0.172;599;0.51
0;5;8;TIMEOUT;False;0.172;599;0.51
0;5;9;TIMEOUT;False;0.172;599;0.51
0;5;10;TIMEOUT;False;0.172;599;0.51
0;6;0;TIMEOUT;False;1.303;599;-0.494
0;6;1;TIMEOUT;False;0.172;599;0.51
0;6;2;TIMEOUT;False;0.172;599;0.51
0;6;3;TIMEOUT;False;0.172;599;0.51
0;6;4;TIMEOUT;False;0.172;599;0.51
0;6;5;TIMEOUT;False;0.172;599;0.51
0;6;6;TIMEOUT;False;0.172;599;0.51
0;6;7;TIMEOUT;False;0.172;599;0.51
0;6;8;TIMEOUT;False;0.172;599;0.51
0;6;9;TIMEOUT;False;0.172;599;0.51
0;6;10;TIMEOUT;False;0.172;599;0.51
0;7;0;TIMEOUT;False;1.303;599;-0.494
0;7;1;TIMEOUT;False;0.172;599;0.51
0;7;2;TIMEOUT;False;0.172;599;0.51
0;7;3;TIMEOUT;False;0.172;599;0.51
0;7;4;TIMEOUT;False;0.172;599;0.51
0;7;5;TIMEOUT;False;0.172;599;0.51
0;7;6;TIMEOUT;False;0.172;599;0.51
0;7;7;TIMEOUT;False;0.172;599;0.51
0;7;8;TIMEOUT;False;0.172;599;0.51
0;7;9;TIMEOUT;False;0.172;599;0.51
0;7;10;TIMEOUT;False;0.172;599;0.51
0;8;0;TIMEOUT;False;1.303;599;-0.494
0;8;1;TIMEOUT;False;0.172;599;0.51
0;8;2;TIMEOUT;False;0.172;599;0.51
0;8;3;TIMEOUT;False;0.172;599;0.51
0;8;4;TIMEOUT;False;0.172;599;0.51
0;8;5;TIMEOUT;False;0.172;599;0.51
0;8;6;TIMEOUT;False;0.172;599;0.51
0;8;7;TIMEOUT;False;0.172;599;0.51
0;8;8;TIMEOUT;False;0.172;599;0.51
0;8;9;TIMEOUT;False;0.172;599;0.51
0;8;10;TIMEOUT;False;0.172;599;0.51
0;9;0;TIMEOUT;False;1.303;599;-0.494
0;9;1;TIMEOUT;False;0.172;599;0.51
0;9;2;TIMEOUT;False;0.172;599;0.51
0;9;3;TIMEOUT;False;0.172;599;0.51
0;9;4;TIMEOUT;False;0.172;599;0.51
0;9;5;TIMEOUT;False;0.172;599;0.51
0;9;6;TIMEOUT;False;0.172;599;0.51
0;9;7;TIMEOUT;False;0.172;599;0.51
0;9;8;TIMEOUT;False;0.172;599;0.51
0;9;9;TIMEOUT;False;0.172;599;0.51
0;9;10;TIMEOUT;False;0.172;599;0.51
0;10;0;TIMEOUT;False;1.303;599;-0.494
0;10;1;TIMEOUT;False;0.172;599;0.51
0;10;2;TIMEOUT;False;0.172;599;0.51
0;10;3;TIMEOUT;False;0.172;599;0.51
0;10;4;TIMEOUT;False;0.172;599;0.51
0;10;5;TIMEOUT;False;0.172;599;0.51
0;10;6;TIMEOUT;False;0.172;599;0.51
0;10;7;TIMEOUT;False;0.172;599;0.51
0;10;8;TIMEOUT;False;0.172;599;0.51
0;10;9;TIMEOUT;False;0.172;599;0.51
0;10;10;TIMEOUT;False;0.172;599;0.51
1;0;0;TIMEOUT;False;0.135;599;0.026
1;0;1;TIMEOUT;False;0.078;599;0.04
1;0;2;TIMEOUT;False;0.11;599;0.043
1;0;3;TIMEOUT;False;0.1;599;0.045
1;0;4;TIMEOUT;False;0.099;599;0.05
1;0;5;TIMEOUT;False;0.124;599;0.05
1;0;6;TIMEOUT;False;0.123;599;0.051
1;0;7;TIMEOUT;False;0.102;599;0.053
1;0;8;TIMEOUT;False;0.102;599;0.053
1;0;9;TIMEOUT;False;0.102;599;0.053
1;0;10;TIMEOUT;False;0.102;599;0.053
1;1;0;TIMEOUT;False;0.447;599;0.377
1;1;1;SIKER;False;0.15;219;0.442
1;1;2;SIKER;False;0.15;214;0.462
1;1;3;SIKER;False;0.151;205;0.477
1;1;4;SIKER;False;0.151;204;0.481
1;1;5;SIKER;False;0.152;206;0.481
1;1;6;SIKER;False;0.15;210;0.478
1;1;7;TIMEOUT;False;0.172;599;0.51
1;1;8;TIMEOUT;False;0.172;599;0.51
1;1;9;TIMEOUT;False;0.172;599;0.51
1;1;10;TIMEOUT;False;0.172;599;0.51
1;2;0;TIMEOUT;False;0.447;599;0.377
1;2;1;SIKER;False;0.15;219;0.442
1;2;2;SIKER;False;0.15;214;0.462
1;2;3;SIKER;False;0.151;205;0.477
1;2;4;SIKER;False;0.151;204;0.481
1;2;5;SIKER;False;0.152;206;0.481
1;2;6;SIKER;False;0.15;210;0.478
1;2;7;TIMEOUT;False;0.172;599;0.51
1;2;8;TIMEOUT;False;0.172;599;0.51
1;2;9;TIMEOUT;False;0.172;599;0.51
1;2;10;TIMEOUT;False;0.172;599;0.51
1;3;0;TIMEOUT;False;0.447;599;0.377
1;3;1;SIKER;False;0.15;219;0.442
1;3;2;SIKER;False;0.15;214;0.462
1;3;3;SIKER;False;0.151;205;0.477
1;3;4;SIKER;False;0.151;204;0.481
1;3;5;SIKER;False;0.152;206;0.481
1;3;6;SIKER;False;0.15;210;0.478
1;3;7;TIMEOUT;False;0.172;599;0.51
1;3;8;TIMEOUT;False;0.172;599;0.51
1;3;9;TIMEOUT;False;0.172;599;0.51
1;3;10;TIMEOUT;False;0.172;599;0.51
1;4;0;TIMEOUT;False;0.447;599;0.377
1;4;1;SIKER;False;0.15;219;0.442
1;4;2;SIKER;False;0.15;214;0.462
1;4;3;SIKER;False;0.151;205;0.477
1;4;4;SIKER;False;0.151;204;0.481
1;4;5;SIKER;False;0.152;206;0.481
1;4;6;SIKER;False;0.15;210;0.478
1;4;7;TIMEOUT;False;0.172;599;0.51
1;4;8;TIMEOUT;False;0.172;599;0.51
1;4;9;TIMEOUT;False;0.172;599;0.51
1;4;10;TIMEOUT;False;0.172;599;0.51
